Date,Month,Weekday,DayType,Hour,Base,Total_Trips
2014-04-03,Apr,Thu,Weekday,17,B02764,35
2014-04-03,Apr,Thu,Weekday,18,B02512,107
2014-04-03,Apr,Thu,Weekday,18,B02598,450
2014-04-03,Apr,Thu,Weekday,18,B02617,311
2014-04-03,Apr,Thu,Weekday,18,B02682,728
2014-04-03,Apr,Thu,Weekday,18,B02764,32
2014-04-03,Apr,Thu,Weekday,19,B02512,100
2014-04-03,Apr,Thu,Weekday,19,B02598,357
2014-04-03,Apr,Thu,Weekday,19,B02617,285
2014-04-03,Apr,Thu,Weekday,19,B02682,606
2014-04-03,Apr,Thu,Weekday,19,B02764,26
2014-04-03,Apr,Thu,Weekday,20,B02512,120
2014-04-03,Apr,Thu,Weekday,20,B02598,419
2014-04-03,Apr,Thu,Weekday,20,B02617,347
2014-04-03,Apr,Thu,Weekday,20,B02682,666
2014-04-03,Apr,Thu,Weekday,20,B02764,39
2014-04-03,Apr,Thu,Weekday,21,B02512,112
2014-04-03,Apr,Thu,Weekday,21,B02598,450
2014-04-03,Apr,Thu,Weekday,21,B02617,358
2014-04-03,Apr,Thu,Weekday,21,B02682,762
2014-04-03,Apr,Thu,Weekday,21,B02764,32
2014-04-03,Apr,Thu,Weekday,22,B02512,108
2014-04-03,Apr,Thu,Weekday,22,B02598,436
2014-04-03,Apr,Thu,Weekday,22,B02617,360
2014-04-03,Apr,Thu,Weekday,22,B02682,650
2014-04-03,Apr,Thu,Weekday,22,B02764,26
2014-04-03,Apr,Thu,Weekday,23,B02512,42
2014-04-03,Apr,Thu,Weekday,23,B02598,231
2014-04-03,Apr,Thu,Weekday,23,B02617,151
2014-04-03,Apr,Thu,Weekday,23,B02682,352
2014-04-03,Apr,Thu,Weekday,23,B02764,17
2014-04-04,Apr,Fri,Weekday,0,B02512,14
2014-04-04,Apr,Fri,Weekday,0,B02598,85
2014-04-04,Apr,Fri,Weekday,0,B02617,60
2014-04-04,Apr,Fri,Weekday,0,B02682,163
2014-04-04,Apr,Fri,Weekday,0,B02764,7
2014-04-04,Apr,Fri,Weekday,1,B02512,12
2014-04-04,Apr,Fri,Weekday,1,B02598,52
2014-04-04,Apr,Fri,Weekday,1,B02617,30
2014-04-04,Apr,Fri,Weekday,1,B02682,87
2014-04-04,Apr,Fri,Weekday,1,B02764,3
2014-04-04,Apr,Fri,Weekday,2,B02512,3
2014-04-04,Apr,Fri,Weekday,2,B02598,36
2014-04-04,Apr,Fri,Weekday,2,B02617,15
2014-04-04,Apr,Fri,Weekday,2,B02682,60
2014-04-04,Apr,Fri,Weekday,2,B02764,3
2014-04-04,Apr,Fri,Weekday,3,B02512,7
2014-04-04,Apr,Fri,Weekday,3,B02598,41
2014-04-04,Apr,Fri,Weekday,3,B02617,34
2014-04-04,Apr,Fri,Weekday,3,B02682,70
2014-04-04,Apr,Fri,Weekday,3,B02764,2
2014-04-04,Apr,Fri,Weekday,4,B02512,14
2014-04-04,Apr,Fri,Weekday,4,B02598,63
2014-04-04,Apr,Fri,Weekday,4,B02617,43
2014-04-04,Apr,Fri,Weekday,4,B02682,114
2014-04-04,Apr,Fri,Weekday,4,B02764,4
2014-04-04,Apr,Fri,Weekday,5,B02512,21
2014-04-04,Apr,Fri,Weekday,5,B02598,90
2014-04-04,Apr,Fri,Weekday,5,B02617,72
2014-04-04,Apr,Fri,Weekday,5,B02682,193
2014-04-04,Apr,Fri,Weekday,5,B02764,5
2014-04-04,Apr,Fri,Weekday,6,B02512,67
2014-04-04,Apr,Fri,Weekday,6,B02598,218
2014-04-04,Apr,Fri,Weekday,6,B02617,169
2014-04-04,Apr,Fri,Weekday,6,B02682,376
2014-04-04,Apr,Fri,Weekday,6,B02764,9
2014-04-04,Apr,Fri,Weekday,7,B02512,88
2014-04-04,Apr,Fri,Weekday,7,B02598,294
2014-04-04,Apr,Fri,Weekday,7,B02617,238
2014-04-04,Apr,Fri,Weekday,7,B02682,558
2014-04-04,Apr,Fri,Weekday,7,B02764,24
2014-04-04,Apr,Fri,Weekday,8,B02512,68
2014-04-04,Apr,Fri,Weekday,8,B02598,254
2014-04-04,Apr,Fri,Weekday,8,B02617,217
2014-04-04,Apr,Fri,Weekday,8,B02682,505
2014-04-04,Apr,Fri,Weekday,8,B02764,21
2014-04-04,Apr,Fri,Weekday,9,B02512,61
2014-04-04,Apr,Fri,Weekday,9,B02598,177
2014-04-04,Apr,Fri,Weekday,9,B02617,168
2014-04-04,Apr,Fri,Weekday,9,B02682,349
2014-04-04,Apr,Fri,Weekday,9,B02764,14
2014-04-04,Apr,Fri,Weekday,10,B02512,61
2014-04-04,Apr,Fri,Weekday,10,B02598,193
2014-04-04,Apr,Fri,Weekday,10,B02617,161
2014-04-04,Apr,Fri,Weekday,10,B02682,336
2014-04-04,Apr,Fri,Weekday,10,B02764,8
2014-04-04,Apr,Fri,Weekday,11,B02512,58
2014-04-04,Apr,Fri,Weekday,11,B02598,236
2014-04-04,Apr,Fri,Weekday,11,B02617,143
2014-04-04,Apr,Fri,Weekday,11,B02682,370
2014-04-04,Apr,Fri,Weekday,11,B02764,12
2014-04-04,Apr,Fri,Weekday,12,B02512,58
2014-04-04,Apr,Fri,Weekday,12,B02598,229
2014-04-04,Apr,Fri,Weekday,12,B02617,186
2014-04-04,Apr,Fri,Weekday,12,B02682,346
2014-04-04,Apr,Fri,Weekday,12,B02764,8
2014-04-04,Apr,Fri,Weekday,13,B02512,79
2014-04-04,Apr,Fri,Weekday,13,B02598,297
2014-04-04,Apr,Fri,Weekday,13,B02617,215
2014-04-04,Apr,Fri,Weekday,13,B02682,388
2014-04-04,Apr,Fri,Weekday,13,B02764,15
2014-04-04,Apr,Fri,Weekday,14,B02512,94
2014-04-04,Apr,Fri,Weekday,14,B02598,320
2014-04-04,Apr,Fri,Weekday,14,B02617,240
2014-04-04,Apr,Fri,Weekday,14,B02682,511
2014-04-04,Apr,Fri,Weekday,14,B02764,25
2014-04-04,Apr,Fri,Weekday,15,B02512,121
2014-04-04,Apr,Fri,Weekday,15,B02598,389
2014-04-04,Apr,Fri,Weekday,15,B02617,318
2014-04-04,Apr,Fri,Weekday,15,B02682,647
2014-04-04,Apr,Fri,Weekday,15,B02764,29
2014-04-04,Apr,Fri,Weekday,16,B02512,124
