Month,Base,Lat_Grid,Lon_Grid,Total_Trips
Apr,B02512,40.86,-73.92,1
Apr,B02512,40.86,-73.91,3
Apr,B02512,40.86,-73.9,1
Apr,B02512,40.86,-73.89,2
Apr,B02512,40.86,-73.88,4
Apr,B02512,40.86,-73.87,1
Apr,B02512,40.86,-73.86,1
Apr,B02512,40.86,-73.85000000000001,1
Apr,B02512,40.87,-74.12,1
Apr,B02512,40.87,-74.09,1
Apr,B02512,40.87,-74.06,2
Apr,B02512,40.87,-74.04,1
Apr,B02512,40.87,-74.01,1
Apr,B02512,40.87,-73.93,3
Apr,B02512,40.87,-73.92,4
Apr,B02512,40.87,-73.89,3
Apr,B02512,40.87,-73.88,2
Apr,B02512,40.87,-73.87,2
Apr,B02512,40.87,-73.83,1
Apr,B02512,40.87,-73.82000000000001,1
Apr,B02512,40.88,-74.07000000000001,1
Apr,B02512,40.88,-74.05,2
Apr,B02512,40.88,-73.99,1
Apr,B02512,40.88,-73.95,1
Apr,B02512,40.88,-73.92,1
Apr,B02512,40.88,-73.91,1
Apr,B02512,40.88,-73.88,4
Apr,B02512,40.88,-73.86,1
Apr,B02512,40.88,-73.85000000000001,4
Apr,B02512,40.88,-73.83,1
Apr,B02512,40.89,-74.12,1
Apr,B02512,40.89,-74.01,2
Apr,B02512,40.89,-73.97,1
Apr,B02512,40.89,-73.94,1
Apr,B02512,40.89,-73.91,10
Apr,B02512,40.89,-73.9,7
Apr,B02512,40.89,-73.86,1
Apr,B02512,40.89,-73.82000000000001,3
Apr,B02512,40.89,-73.78,1
Apr,B02512,40.9,-74.11,1
Apr,B02512,40.9,-74.04,1
Apr,B02512,40.9,-73.95,3
Apr,B02512,40.9,-73.94,3
Apr,B02512,40.9,-73.9,3
Apr,B02512,40.9,-73.87,1
Apr,B02512,40.910000000000004,-74.14,1
Apr,B02512,40.910000000000004,-74.03,2
Apr,B02512,40.910000000000004,-74.01,1
Apr,B02512,40.910000000000004,-73.91,1
Apr,B02512,40.910000000000004,-73.9,3
Apr,B02512,40.92,-74.08,1
Apr,B02512,40.92,-73.97,1
Apr,B02598,40.58,-74.13,1
Apr,B02598,40.58,-74.11,1
Apr,B02598,40.58,-74.01,1
Apr,B02598,40.58,-73.99,1
Apr,B02598,40.58,-73.98,3
Apr,B02598,40.58,-73.97,7
Apr,B02598,40.58,-73.96000000000001,17
Apr,B02598,40.58,-73.95,6
Apr,B02598,40.58,-73.94,3
Apr,B02598,40.58,-73.93,1
Apr,B02598,40.59,-74.09,1
Apr,B02598,40.59,-74.08,1
Apr,B02598,40.59,-74.07000000000001,1
Apr,B02598,40.59,-74,4
Apr,B02598,40.59,-73.99,6
Apr,B02598,40.59,-73.98,7
Apr,B02598,40.59,-73.97,5
Apr,B02598,40.59,-73.96000000000001,10
Apr,B02598,40.59,-73.95,7
Apr,B02598,40.59,-73.94,6
Apr,B02598,40.59,-73.93,10
Apr,B02598,40.59,-73.9,3
Apr,B02598,40.59,-73.82000000000001,1
Apr,B02598,40.59,-73.76,1
Apr,B02598,40.59,-73.72,1
Apr,B02598,40.6,-74.09,2
Apr,B02598,40.6,-74.08,1
Apr,B02598,40.6,-74.01,8
Apr,B02598,40.6,-74,6
Apr,B02598,40.6,-73.99,14
Apr,B02598,40.6,-73.98,9
Apr,B02598,40.6,-73.97,57
Apr,B02598,40.6,-73.96000000000001,18
Apr,B02598,40.6,-73.95,8
Apr,B02598,40.6,-73.94,14
Apr,B02598,40.6,-73.93,1
Apr,B02598,40.6,-73.8,1
Apr,B02598,40.6,-73.78,1
Apr,B02598,40.6,-73.76,3
Apr,B02598,40.6,-73.74,2
Apr,B02598,40.61,-74.13,3
Apr,B02598,40.61,-74.12,2
Apr,B02598,40.61,-74.10000000000001,1
Apr,B02598,40.61,-74.08,2
Apr,B02598,40.61,-74.07000000000001,1
Apr,B02598,40.61,-74.06,7
Apr,B02598,40.61,-74.04,6
Apr,B02598,40.61,-74.03,13
Apr,B02598,40.61,-74.02,9
Apr,B02598,40.61,-74.01,8
Apr,B02598,40.61,-74,11
Apr,B02598,40.61,-73.99,9
Apr,B02598,40.61,-73.98,5
Apr,B02598,40.61,-73.97,20
Apr,B02598,40.61,-73.96000000000001,23
Apr,B02598,40.61,-73.95,21
Apr,B02598,40.61,-73.94,4
Apr,B02598,40.61,-73.93,3
Apr,B02598,40.61,-73.92,5
Apr,B02598,40.61,-73.91,3
Apr,B02598,40.61,-73.9,2
Apr,B02598,40.61,-73.76,1
Apr,B02598,40.61,-73.73,1
Apr,B02598,40.61,-73.72,1
Apr,B02598,40.62,-74.10000000000001,2
Apr,B02598,40.62,-74.09,1
Apr,B02598,40.62,-74.06,1
Apr,B02598,40.62,-74.04,13
Apr,B02598,40.62,-74.03,54
Apr,B02598,40.62,-74.02,28
Apr,B02598,40.62,-74.01,12
Apr,B02598,40.62,-74,12
Apr,B02598,40.62,-73.99,7
Apr,B02598,40.62,-73.98,2
Apr,B02598,40.62,-73.97,26
Apr,B02598,40.62,-73.96000000000001,21
Apr,B02598,40.62,-73.95,12
Apr,B02598,40.62,-73.94,11
Apr,B02598,40.62,-73.93,15
Apr,B02598,40.62,-73.92,12
Apr,B02598,40.62,-73.91,6
Apr,B02598,40.62,-73.9,2
Apr,B02598,40.62,-73.74,2
Apr,B02598,40.62,-73.73,3
Apr,B02598,40.63,-74.11,1
Apr,B02598,40.63,-74.10000000000001,2
Apr,B02598,40.63,-74.07000000000001,1
Apr,B02598,40.63,-74.04,5
Apr,B02598,40.63,-74.03,28
Apr,B02598,40.63,-74.02,31
Apr,B02598,40.63,-74.01,25
Apr,B02598,40.63,-74,11
Apr,B02598,40.63,-73.99,7
Apr,B02598,40.63,-73.98,7
Apr,B02598,40.63,-73.97,33
Apr,B02598,40.63,-73.96000000000001,44
Apr,B02598,40.63,-73.95,46
Apr,B02598,40.63,-73.94,15
Apr,B02598,40.63,-73.93,8
Apr,B02598,40.63,-73.92,10
Apr,B02598,40.63,-73.91,4
Apr,B02598,40.63,-73.9,5
Apr,B02598,40.63,-73.89,10
Apr,B02598,40.63,-73.88,1
Apr,B02598,40.63,-73.73,2
Apr,B02598,40.63,-73.72,3
Apr,B02598,40.63,-73.71000000000001,2
Apr,B02598,40.64,-74.08,1
Apr,B02598,40.64,-74.04,8
Apr,B02598,40.64,-74.03,17
Apr,B02598,40.64,-74.02,21
Apr,B02598,40.64,-74.01,7
Apr,B02598,40.64,-74,30
Apr,B02598,40.64,-73.99,19
Apr,B02598,40.64,-73.98,28
Apr,B02598,40.64,-73.97,76
Apr,B02598,40.64,-73.96000000000001,50
Apr,B02598,40.64,-73.95,28
