Lat,Lon,Total_Trips,Cluster_ID,Neighborhood_Trips,Is_Core,X_Km,Y_Km,Cluster_Total_Trips,Cluster_Share,Center_Lat,Center_Lon
40.62,-73.98,168,0,3895,FALSE,0,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.97,599,0,5661,FALSE,0.842374992207426,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.96,534,0,6665,FALSE,1.684749984414852,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.95,401,0,5455,FALSE,2.5271249766210806,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.94,331,0,3820,FALSE,3.369499968828506,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.93,317,0,2888,FALSE,4.211874961034735,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.92,354,0,2239,FALSE,5.054249953242161,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.91,160,0,1690,FALSE,5.896624945449588,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.9,28,0,859,FALSE,6.738999937655816,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.82,3,0,11,FALSE,13.477999875312829,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.8,1,0,1,FALSE,15.162749859726485,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.76,10,0,78,FALSE,18.532249828553795,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.75,17,0,201,FALSE,19.374624820761223,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.74,18,0,395,FALSE,20.216999812968645,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.73,91,0,448,FALSE,21.059374805174876,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.72,39,0,424,FALSE,21.9017497973823,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.71,20,0,214,FALSE,22.744124789589726,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.62,-73.7,2,0,108,FALSE,23.586499781795954,-14.455360430359562,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-74.15,2,0,23,FALSE,-14.320374867519059,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-74.14,5,0,31,FALSE,-13.477999875311632,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-74.13,2,0,40,FALSE,-12.635624883104207,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-74.12,1,0,72,FALSE,-11.793249890897977,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-74.11,26,0,114,FALSE,-10.950874898690552,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-74.1,16,0,143,FALSE,-10.108499906483125,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
