Lat_Grid,Lon_Grid,Total_Trips,Percentage
40.72,-74.08,174,0.004
40.59,-73.9,172,0.004
40.63,-74.04,172,0.004
40.65,-73.89,172,0.004
40.75,-73.71000000000001,171,0.004
40.76,-73.79,171,0.004
40.84,-73.93,171,0.004
40.84,-73.9,171,0.004
40.62,-73.98,168,0.004
40.660000000000004,-73.88,168,0.004
40.71,-73.89,168,0.004
40.85,-73.92,168,0.004
40.9,-73.87,168,0.004
40.68,-73.88,164,0.004
40.730000000000004,-73.92,164,0.004
40.87,-73.86,164,0.004
40.63,-73.91,163,0.004
40.7,-73.86,163,0.004
40.77,-74.04,163,0.004
40.68,-73.82000000000001,162,0.004
40.7,-73.85000000000001,161,0.004
40.79,-74.01,161,0.004
40.62,-73.91,160,0.004
40.59,-73.93,159,0.004
40.61,-73.93,156,0.003
40.730000000000004,-73.8,156,0.003
40.77,-73.84,156,0.003
40.81,-73.99,156,0.003
40.63,-73.89,153,0.003
40.79,-73.8,153,0.003
40.82,-73.86,153,0.003
40.67,-73.86,152,0.003
40.6,-74.01,150,0.003
40.79,-74.05,150,0.003
40.83,-73.85000000000001,149,0.003
40.76,-74.04,148,0.003
40.68,-73.81,146,0.003
40.78,-73.85000000000001,145,0.003
40.74,-73.79,143,0.003
40.81,-74.10000000000001,143,0.003
40.88,-73.83,143,0.003
40.730000000000004,-73.78,142,0.003
40.72,-73.74,141,0.003
40.83,-73.87,140,0.003
40.72,-74.09,139,0.003
40.87,-73.81,139,0.003
40.660000000000004,-73.81,138,0.003
40.69,-73.8,138,0.003
40.87,-73.83,137,0.003
40.64,-73.89,136,0.003
40.76,-73.76,136,0.003
40.87,-73.87,135,0.003
40.660000000000004,-73.79,134,0.003
40.67,-73.84,133,0.003
40.83,-73.88,133,0.003
40.84,-73.97,133,0.003
40.61,-73.91,131,0.003
40.78,-73.82000000000001,129,0.003
40.69,-73.74,128,0.003
40.7,-73.72,127,0.003
40.78,-73.83,127,0.003
40.79,-73.79,126,0.003
40.67,-73.76,125,0.003
40.82,-73.85000000000001,125,0.003
40.71,-74.09,124,0.003
40.75,-73.72,124,0.003
40.88,-73.84,124,0.003
40.9,-73.86,123,0.003
40.76,-73.78,121,0.003
40.77,-73.79,121,0.003
40.88,-73.87,121,0.003
40.69,-73.87,120,0.003
40.82,-73.88,120,0.003
40.89,-73.86,120,0.003
40.61,-74.04,119,0.003
40.86,-73.84,119,0.003
40.88,-73.86,119,0.003
40.69,-73.84,118,0.003
40.87,-73.85000000000001,118,0.003
40.910000000000004,-73.91,118,0.003
40.660000000000004,-73.77,117,0.003
40.68,-73.83,116,0.003
40.77,-73.74,116,0.003
40.76,-74.08,115,0.003
40.79,-73.81,113,0.003
40.85,-74.07000000000001,112,0.003
40.82,-73.87,111,0.002
40.77,-73.77,110,0.002
40.88,-73.85000000000001,110,0.002
40.72,-73.75,106,0.002
40.83,-73.82000000000001,106,0.002
40.78,-73.81,105,0.002
40.7,-74.07000000000001,104,0.002
40.77,-73.81,103,0.002
40.800000000000004,-74.06,102,0.002
40.82,-73.82000000000001,102,0.002
40.83,-73.83,102,0.002
40.67,-73.77,101,0.002
40.74,-73.76,101,0.002
40.89,-73.92,101,0.002
40.65,-73.81,100,0.002
40.730000000000004,-74.08,100,0.002
40.58,-73.93,99,0.002
40.68,-73.77,99,0.002
40.7,-73.75,99,0.002
40.74,-73.8,99,0.002
40.74,-73.75,99,0.002
40.800000000000004,-73.99,99,0.002
40.68,-73.78,98,0.002
40.730000000000004,-73.74,98,0.002
40.75,-73.76,98,0.002
40.78,-73.8,98,0.002
40.78,-73.7,98,0.002
40.61,-74.06,97,0.002
40.7,-73.77,97,0.002
40.660000000000004,-73.85000000000001,96,0.002
40.89,-73.95,96,0.002
40.7,-73.74,94,0.002
40.660000000000004,-73.87,93,0.002
40.71,-73.77,93,0.002
40.62,-73.73,91,0.002
40.660000000000004,-73.72,88,0.002
40.89,-73.78,88,0.002
40.6,-73.91,87,0.002
40.660000000000004,-73.74,87,0.002
40.71,-73.75,87,0.002
40.75,-73.75,87,0.002
40.65,-73.87,86,0.002
40.7,-73.78,86,0.002
40.730000000000004,-73.84,86,0.002
40.77,-73.75,86,0.002
40.800000000000004,-74,86,0.002
40.89,-73.79,86,0.002
40.68,-73.79,85,0.002
40.83,-73.97,85,0.002
40.75,-73.79,84,0.002
40.76,-73.71000000000001,84,0.002
40.78,-73.77,84,0.002
40.84,-74.07000000000001,84,0.002
40.64,-73.8,83,0.002
40.83,-73.98,83,0.002
40.58,-73.99,82,0.002
40.660000000000004,-73.73,82,0.002
40.75,-74.06,82,0.002
40.77,-73.78,82,0.002
40.71,-73.73,81,0.002
40.72,-73.73,81,0.002
40.61,-73.73,80,0.002
40.71,-73.74,80,0.002
40.78,-74,80,0.002
40.79,-73.82000000000001,80,0.002
40.68,-73.75,79,0.002
40.7,-73.76,79,0.002
40.71,-74.08,79,0.002
40.74,-73.72,79,0.002
40.81,-73.9,78,0.002
40.81,-73.86,78,0.002
40.67,-73.75,77,0.002
40.76,-74.01,77,0.002
40.81,-73.81,77,0.002
40.83,-74.10000000000001,77,0.002
40.71,-74.07000000000001,76,0.002
40.78,-73.72,76,0.002
40.79,-74.07000000000001,76,0.002
40.69,-73.76,75,0.002
40.730000000000004,-73.93,75,0.002
40.86,-73.98,75,0.002
40.89,-73.84,75,0.002
40.78,-74.07000000000001,74,0.002
40.61,-73.74,73,0.002
40.81,-73.89,73,0.002
40.85,-73.79,73,0.002
40.87,-74,73,0.002
40.89,-73.97,73,0.002
40.68,-73.74,72,0.002
40.7,-74.09,72,0.002
40.78,-73.79,72,0.002
40.660000000000004,-73.82000000000001,70,0.002
